site,time,distance,concentration
CapeCod,13.0,2.0,12.0
CapeCod,13.0,4.0,70.0
CapeCod,13.0,6.0,350.0
CapeCod,13.0,8.0,750.0
CapeCod,13.0,10.0,650.0
CapeCod,13.0,12.0,400.0
CapeCod,13.0,15.0,60.0
CapeCod,13.0,18.0,2.0
CapeCod,55.0,5.0,0.3
CapeCod,55.0,8.0,1.0
CapeCod,55.0,12.0,5.0
CapeCod,55.0,16.0,25.0
CapeCod,55.0,20.0,120.0
CapeCod,55.0,24.0,200.0
CapeCod,55.0,28.0,170.0
CapeCod,55.0,33.0,120.0
CapeCod,55.0,38.0,40.0
CapeCod,55.0,45.0,15.0
CapeCod,203.0,38.0,0.08
CapeCod,203.0,45.0,0.15
CapeCod,203.0,52.0,0.12
CapeCod,203.0,60.0,0.2
CapeCod,203.0,65.0,15.0
CapeCod,203.0,72.0,35.0
CapeCod,203.0,82.0,55.0
CapeCod,203.0,92.0,75.0
CapeCod,203.0,102.0,65.0
CapeCod,203.0,112.0,45.0
CapeCod,203.0,122.0,60.0
CapeCod,203.0,132.0,35.0
CapeCod,203.0,140.0,0.08
CapeCod,349.0,35.0,0.08
CapeCod,349.0,45.0,0.12
CapeCod,349.0,55.0,0.08
CapeCod,349.0,65.0,0.04
CapeCod,349.0,75.0,0.06
CapeCod,349.0,90.0,0.08
CapeCod,349.0,105.0,0.1
CapeCod,349.0,120.0,0.3
CapeCod,349.0,135.0,8.0
CapeCod,349.0,145.0,25.0
CapeCod,349.0,155.0,45.0
CapeCod,349.0,165.0,30.0
CapeCod,349.0,175.0,18.0
CapeCod,349.0,190.0,6.0
CapeCod,349.0,205.0,0.1
CapeCod,349.0,215.0,0.03
CapeCod,511.0,150.0,0.1
CapeCod,511.0,165.0,0.13
CapeCod,511.0,175.0,0.2
CapeCod,511.0,185.0,5.0
CapeCod,511.0,195.0,12.0
CapeCod,511.0,205.0,20.0
CapeCod,511.0,215.0,35.0
CapeCod,511.0,225.0,50.0
CapeCod,511.0,235.0,35.0
CapeCod,511.0,245.0,18.0
CapeCod,511.0,255.0,10.0
CapeCod,511.0,265.0,15.0
