site,time,distance,concentration
MADE,202.0,0.0,0.0
MADE,202.0,5.0,0.0
MADE,202.0,8.0,25.0
MADE,202.0,10.0,230.0
MADE,202.0,13.0,240.0
MADE,202.0,16.0,250.0
MADE,202.0,21.0,180.0
MADE,202.0,25.0,95.0
MADE,202.0,30.0,5.0
MADE,202.0,34.0,15.0
MADE,202.0,38.0,10.0
MADE,202.0,45.0,8.0
MADE,202.0,52.0,5.0
MADE,202.0,60.0,2.0
MADE,370.0,0.0,0.0
MADE,370.0,5.0,5.0
MADE,370.0,8.0,20.0
MADE,370.0,10.0,160.0
MADE,370.0,12.0,120.0
MADE,370.0,15.0,90.0
MADE,370.0,18.0,70.0
MADE,370.0,21.0,60.0
MADE,370.0,25.0,50.0
MADE,370.0,30.0,35.0
MADE,370.0,35.0,12.0
MADE,370.0,40.0,8.0
MADE,370.0,50.0,6.0
MADE,370.0,60.0,5.0
MADE,370.0,70.0,4.0
MADE,370.0,80.0,3.0
MADE,370.0,95.0,1.5
MADE,503.0,0.0,0.0
MADE,503.0,5.0,8.0
MADE,503.0,8.0,60.0
MADE,503.0,11.0,85.0
MADE,503.0,14.0,100.0
MADE,503.0,18.0,75.0
MADE,503.0,22.0,50.0
MADE,503.0,26.0,30.0
MADE,503.0,30.0,20.0
MADE,503.0,36.0,10.0
MADE,503.0,45.0,5.0
MADE,503.0,55.0,4.0
MADE,503.0,65.0,3.0
MADE,503.0,75.0,2.5
MADE,503.0,90.0,2.0
MADE,503.0,105.0,1.5
MADE,503.0,120.0,1.0
MADE,503.0,140.0,0.8
MADE,503.0,160.0,0.5
