site,time,distance,concentration
site_A,202.0,0.0,0.0
site_A,202.0,5.0,0.0
site_A,202.0,8.0,25.0
site_A,202.0,10.0,230.0
site_A,202.0,13.0,240.0
site_A,202.0,16.0,250.0
site_A,202.0,21.0,180.0
site_A,202.0,25.0,95.0
site_A,202.0,30.0,5.0
site_A,202.0,34.0,15.0
site_A,202.0,38.0,10.0
site_A,202.0,45.0,8.0
site_A,202.0,52.0,5.0
site_A,202.0,60.0,2.0
site_A,370.0,0.0,0.0
site_A,370.0,5.0,5.0
site_A,370.0,8.0,20.0
site_A,370.0,10.0,160.0
site_A,370.0,12.0,120.0
site_A,370.0,15.0,90.0
site_A,370.0,18.0,70.0
site_A,370.0,21.0,60.0
site_A,370.0,25.0,50.0
site_A,370.0,30.0,35.0
site_A,370.0,35.0,12.0
site_A,370.0,40.0,8.0
site_A,370.0,50.0,6.0
site_A,370.0,60.0,5.0
site_A,370.0,70.0,4.0
site_A,370.0,80.0,3.0
site_A,370.0,95.0,1.5
site_A,503.0,0.0,0.0
site_A,503.0,5.0,8.0
site_A,503.0,8.0,60.0
site_A,503.0,11.0,85.0
site_A,503.0,14.0,100.0
site_A,503.0,18.0,75.0
site_A,503.0,22.0,50.0
site_A,503.0,26.0,30.0
site_A,503.0,30.0,20.0
site_A,503.0,36.0,10.0
site_A,503.0,45.0,5.0
site_A,503.0,55.0,4.0
site_A,503.0,65.0,3.0
site_A,503.0,75.0,2.5
site_A,503.0,90.0,2.0
site_A,503.0,105.0,1.5
site_A,503.0,120.0,1.0
site_A,503.0,140.0,0.8
site_A,503.0,160.0,0.5
site_B,13.0,2.0,12.0
site_B,13.0,4.0,70.0
site_B,13.0,6.0,350.0
site_B,13.0,8.0,750.0
site_B,13.0,10.0,650.0
site_B,13.0,12.0,400.0
site_B,13.0,15.0,60.0
site_B,13.0,18.0,2.0
site_B,55.0,5.0,0.3
site_B,55.0,8.0,1.0
site_B,55.0,12.0,5.0
site_B,55.0,16.0,25.0
site_B,55.0,20.0,120.0
site_B,55.0,24.0,200.0
site_B,55.0,28.0,170.0
site_B,55.0,33.0,120.0
site_B,55.0,38.0,40.0
site_B,55.0,45.0,15.0
site_B,203.0,38.0,0.08
site_B,203.0,45.0,0.15
site_B,203.0,52.0,0.12
site_B,203.0,60.0,0.2
site_B,203.0,65.0,15.0
site_B,203.0,72.0,35.0
site_B,203.0,82.0,55.0
site_B,203.0,92.0,75.0
site_B,203.0,102.0,65.0
site_B,203.0,112.0,45.0
site_B,203.0,122.0,60.0
site_B,203.0,132.0,35.0
site_B,203.0,140.0,0.08
site_B,349.0,35.0,0.08
site_B,349.0,45.0,0.12
site_B,349.0,55.0,0.08
site_B,349.0,65.0,0.04
site_B,349.0,75.0,0.06
site_B,349.0,90.0,0.08
site_B,349.0,105.0,0.1
site_B,349.0,120.0,0.3
site_B,349.0,135.0,8.0
site_B,349.0,145.0,25.0
site_B,349.0,155.0,45.0
site_B,349.0,165.0,30.0
site_B,349.0,175.0,18.0
site_B,349.0,190.0,6.0
site_B,349.0,205.0,0.1
site_B,349.0,215.0,0.03
site_B,511.0,150.0,0.1
site_B,511.0,165.0,0.13
site_B,511.0,175.0,0.2
site_B,511.0,185.0,5.0
site_B,511.0,195.0,12.0
site_B,511.0,205.0,20.0
site_B,511.0,215.0,35.0
site_B,511.0,225.0,50.0
site_B,511.0,235.0,35.0
site_B,511.0,245.0,18.0
site_B,511.0,255.0,10.0
site_B,511.0,265.0,15.0
